pheno_id	in_vcf_spelling
PI088312	PI88312
PI088313	PI88313
PI088349	PI88349
PI088350	PI88350
PI088351	PI88351
PI088352	PI88352
PI088353	PI88353
PI088354	PI88354
PI088355	PI88355
PI088356	PI88356
PI088357	PI88357
PI088358	PI88358
PI088359	PI88359
PI088442	PI88442
PI088443	PI88443
PI088444	PI88444
PI088445	PI88445
PI088447	PI88447
PI088447-3	PI88447-3
PI088448	PI88448
PI088452	PI88452
PI088455	PI88455
PI088458	PI88458
PI088459	PI88459
PI088461	PI88461
PI088466	PI88466
PI088466-1	PI88466-1
PI088468	PI88468
PI088479	PI88479
PI088484	PI88484
PI088486	PI88486
PI088490	PI88490
PI088490-1	PI88490-1
PI088490-2	PI88490-2
PI088491	PI88491
PI088492	PI88492
PI088495	PI88495
PI088497	PI88497
PI088499	PI88499
PI088502	PI88502
PI088508	PI88508
PI088777	PI88777
PI088780	PI88780
PI088782	PI88782
PI088783	PI88783
PI088787	PI88787
PI088788	PI88788
PI088789	PI88789
PI088790	PI88790
PI088793	PI88793
PI088797	PI88797
PI088798	PI88798
PI088799	PI88799
PI088803	PI88803
PI088803-1	PI88803-1
PI088804	PI88804
PI088805-2	PI88805-2
PI088805-4	PI88805-4
PI088806	PI88806
PI088809	PI88809
PI088810	PI88810
PI088811	PI88811
PI088813	PI88813
PI088814	PI88814
PI088815	PI88815
PI088816	PI88816
PI088816S	PI88816S
PI088818	PI88818
PI088820	PI88820
PI088820N	PI88820N
PI088823	PI88823
PI088825	PI88825
PI088826	PI88826
PI088886	PI88886
PI088965	PI88965
PI088997	PI88997
PI088998-1	PI88998-1
PI088998-2	PI88998-2
PI089000	PI89000
PI089001	PI89001
PI089002	PI89002
PI089002-2	PI89002-2
PI089003-1	PI89003-1
PI089003-2	PI89003-2
PI089004	PI89004
PI089005-4	PI89005-4
PI089005-5	PI89005-5
PI089006	PI89006
PI089006-2	PI89006-2
PI089007	PI89007
PI089008	PI89008
PI089009	PI89009
PI089009-2	PI89009-2
PI089010	PI89010
PI089012	PI89012
PI089012-1	PI89012-1
PI089013	PI89013
PI089014	PI89014
PI089053	PI89053
PI089055	PI89055
PI089055-1	PI89055-1
PI089056-2	PI89056-2
PI089056-3	PI89056-3
PI089057	PI89057
PI089058	PI89058
PI089059	PI89059
PI089060	PI89060
PI089061	PI89061
PI089061-1	PI89061-1
PI089061-2	PI89061-2
PI089061-3	PI89061-3
PI089061N	PI89061N
PI089063	PI89063
PI089064	PI89064
PI089065	PI89065
PI089065-2	PI89065-2
PI089066	PI89066
PI089067	PI89067
PI089070	PI89070
PI089072	PI89072
PI089073	PI89073
PI089074	PI89074
PI089075	PI89075
PI089117	PI89117
PI089128	PI89128
PI089130	PI89130
PI089133	PI89133
PI089134	PI89134
PI089138	PI89138
PI089143	PI89143
PI089146	PI89146
PI089150	PI89150
PI089152	PI89152
PI089153	PI89153
PI089154	PI89154
PI089154-1	PI89154-1
PI089154-2	PI89154-2
PI089154S	PI89154S
PI089156	PI89156
PI089162	PI89162
PI089167	PI89167
PI089168	PI89168
PI089170	PI89170
PI089171	PI89171
PI089469	PI89469
PI089471	PI89471
PI089769	PI89769
PI089772	PI89772
PI089773	PI89773
PI089775	PI89775
PI089783	PI89783
PI089784	PI89784
PI090138	PI90138
PI090180	PI90180
PI090208	PI90208
PI090220	PI90220
PI090221	PI90221
PI090233	PI90233
PI090241	PI90241
PI090243	PI90243
PI090245	PI90245
PI090249	PI90249
PI090251	PI90251
PI090256	PI90256
PI090258	PI90258
PI090305	PI90305
PI090354	PI90354
PI090369	PI90369
PI090392	PI90392
PI090401	PI90401
PI090402	PI90402
PI090406	PI90406
PI090406-1	PI90406-1
PI090407	PI90407
PI090463	PI90463
PI090479-1	PI90479-1
PI090479P	PI90479P
PI090481	PI90481
PI090486	PI90486
PI090490	PI90490
PI090490-2	PI90490-2
PI090495	PI90495
PI090495N	PI90495N
PI090499	PI90499
PI090499-1	PI90499-1
PI090499-2	PI90499-2
PI090560	PI90560
PI090563	PI90563
PI090566	PI90566
PI090566-1	PI90566-1
PI090567	PI90567
PI090567-1	PI90567-1
PI090570	PI90570
PI090573	PI90573
PI090574	PI90574
PI090575	PI90575
PI090576-1	PI90576-1
PI090576-2	PI90576-2
PI090577	PI90577
